" "," ",module,Magento_ImportExport
"Rule Name",Regelnaam,module,Magento_SalesRule
"Rule Title for All Store Views","Regel titel voor alle winkel views.",module,Magento_Reminder
"Rule is not defined","Regel is niet gedefinieerd",module,Magento_SalesRule
"Rule price","Regel prijs",module,Magento_CatalogRule
"Rule processing: %1","Rule processing: %1",module,Magento_SalesRule
"Rule with specified ID ""%1"" not found.","Regel met gespecificeerde ID ""%1"" niet gevonden.",module,Magento_CatalogRule
"Rule-Based Only","alleen rule gebaseerd",module,Magento_TargetRule
"Rule-Based Product Relations","rule gebaseerde product relaties",module,Magento_TargetRule
"Rule-based Positions","rule gebaseerde posities",module,Magento_TargetRule
"Rule-based Settings","rule gebaseerde instellingen",module,Magento_TargetRule
Run,Run,module,Magento_ScheduledImportExport
"Run Class","Klasse uitvoeren",module,Magento_Support
"Run Method","Voer methode uit",module,Magento_Support
"Run Now","Nu uitvoeren",module,Magento_Reminder
RuntimeException,RuntimeException,module,Magento_Cms
"SEO & Search","SEO & zoeken",module,Magento_Backend
"SFTP Credentials",SFTP-aanmeldgegevens,module,Magento_Paypal
SKU,SKU,module,Magento_UrlRewrite
"SKU for product %1 has been changed to %2.","SKU voor product %1 is veranderd in %2.",module,Magento_Catalog
"SKU length should be %1 characters maximum.","SKU lengte moet maximaal %1 karakters zijn.",module,Magento_Catalog
"SKU number",Art.nr.,module,Magento_AdvancedCheckout
"SKU: ",Art.nr:,module,Magento_AdvancedCheckout
"SKU: Ascending","Art.nr.: oplopend",module,Magento_VisualMerchandiser
"SKU: Descending","Art.nr.: aflopend",module,Magento_VisualMerchandiser
"SOAP Settings","SOAP instellingen",module,Magento_Webapi
"SOAP extension is not loaded.","SOAP-extensie is niet geladen.",module,Magento_Webapi
Sale,Verkoop,module,Magento_Braintree
"Sale Ends In","verkoop eindigt in",module,Magento_CatalogEvent
Sales,Verkopen,module,Magento_Tax
"Sales Amount","Verkocht Bedrag",module,Magento_CustomerSegment
"Sales Archive","Verkoop Archief",module,Magento_SalesArchive
"Sales Credit Memos","Creditfacturen bij verkopen",module,Magento_Logging
"Sales Discount","Sales korting",module,Magento_Reports
"Sales Emails","E-mails verkoop",module,Magento_Sales
"Sales Emails Section","Verkoop e-mail gedeelte",module,Magento_Sales
"Sales Invoices",Verkoopfacturen,module,Magento_Logging
"Sales Items","Sales Items",module,Magento_Reports
"Sales Order Status","Verkoop Bestellings Status",module,Magento_Logging
"Sales Orders","Verkoop Bestellingen",module,Magento_Logging
"Sales Rep",Vertegenwoordiger,module,Magento_NegotiableQuote
"Sales Rep.:",Vertegenwoordiger:,module,Magento_NegotiableQuote
"Sales Report","Sales rapport",module,Magento_Reports
"Sales Representative",Verkoopvertegenwoordiger,module,Magento_Backend
"Sales Representative Contact Email","Vertegenwoordiger contact e-mailadres",module,Magento_Email
"Sales Representative Contact Name","Vertegenwoordiger naam van contactpersoon",module,Magento_Email
"Sales Rule",Verkoopregel,module,Magento_AdvancedSalesRule
"Sales Section","Verkoop gedeelte",module,Magento_Sales
"Sales Shipments","Verkoop Zendingen",module,Magento_Logging
"Sales Shipping","Sales verzending",module,Magento_Reports
"Sales Statistics",Verkoopstatistieken,module,Magento_Customer
"Sales Subtotal","Sales Subtotaal",module,Magento_Reports
"Sales Tax","Sales BTW",module,Magento_Reports
"Sales Total","Sales totaal",module,Magento_Reports
"Same As Billing Address","Zelfde als factuuradres",module,Magento_Sales
"Same as Inviter","Hetzelfde als uitnodiger",module,Magento_Invitation
"Same day","Same day",module,Magento_Dhl
Sample,Monster,module,Magento_Usps
"Sample URL must have valid format.","Voorbeeld-URL moet een geldig formaat hebben.",module,Magento_Downloadable
"Sample URL's domain is not in list of downloadable_domains in env.php.","Sample URL's domain is not in list of downloadable_domains in env.php.",module,Magento_Downloadable
"Sample file not found. Please try again.","Sample file not found. Please try again.",module,Magento_Downloadable
"Sample file not provided","Voorbeeld-bestand niet opgegeven",module,Magento_Downloadable
"Sample message.","Sample message.",module,Magento_Sales
"Sample title cannot be empty.","Sample titel mag niet leeg zijn.",module,Magento_Downloadable
Samples,Samples,module,Magento_Downloadable
"Sandbox API Key",Sandbox-API-sleutel,module,Magento_Eway
"Sandbox API Password","Sandbox-API wachtwoord",module,Magento_Eway
"Sandbox Client-side Encryption Key","Sandbox Client-side coderingssleutel",module,Magento_Eway
"Sandbox Credentials","Sandbox aanmeldgegevens",module,Magento_Paypal
"Sandbox Mode","Sandbox modus",module,Magento_Paypal
Save,Opslaan,module,Magento_ConfigurableProduct
"Save & Activate","Opslaan & activeren",module,Magento_Integration
"Save & Close","Opslaan & sluiten",module,Magento_ConfigurableProduct
"Save & Duplicate","Opslaan & dupliceren",module,Magento_ConfigurableProduct
"Save & Edit","Opslaan & bewerken",module,Magento_Catalog
"Save & Generate","Opslaan & aanmaken",module,Magento_Sitefolder
"Save & New","Opslaan & nieuw",module,Magento_ConfigurableProduct
"Save & Send Email","Opslaan & Stuur e-mail",module,Magento_GiftCardAccount
"Save &amp; Close","Opslaan en sluiten",module,Magento_Backend
"Save &amp; Continue","Opslaan en doorgaan",module,Magento_Backend
"Save &amp; New","Opslaan en nieuw",module,Magento_Backend
"Save Account","Account opslaan",module,Magento_Backend
"Save Address","Adres bewaren",module,Magento_Checkout
"Save As","Opslaan als",module,Magento_Newsletter
"Save Attribute","Attribuut opslaan",module,Magento_Catalog
"Save Block","Blok opslaan",module,Magento_Cms
"Save Cache Settings","Bewaar Cache-instellingen",module,Magento_Backend
"Save Category","Categorie opslaan",module,Magento_Catalog
"Save Condition","Voorwaarde opslaan",module,Magento_CheckoutAgreements
"Save Config","Config opslaan",module,Magento_Config
"Save Configuration","Configuratie opslaan",module,Magento_Theme
"Save Currency Rates","Wisselkoersen opslaan",module,Magento_CurrencySymbol
"Save Currency Symbols","Valuta symbolen opslaan",module,Magento_CurrencySymbol
"Save Customer","Klant opslaan",module,Magento_Customer
"Save Customer Group","Klantgroep opslaan",module,Magento_Customer
"Save Dynamic Block","Dynamisch blok opslaan",module,Magento_Banner
"Save Edits","Save Edits",module,Magento_Ui
"Save Files, Days","Bestanden Opslaan, Dagen",module,Magento_ScheduledImportExport
"Save Gift Message","Cadeaubericht opslaan",module,Magento_Sales
"Save Invitation","Sla uitnodiging op",module,Magento_Invitation
"Save Newsletter","Nieuwsbrief opslaan",module,Magento_Newsletter
"Save Option","Optie opslaan",module,Magento_Swatches
"Save Order Address","Besteladres opslaan",module,Magento_Sales
"Save Page","Pagina opslaan",module,Magento_Cms
"Save Rate","Tarief opslaan",module,Magento_Tax
"Save Rating","Rating opslaan",module,Magento_Review
"Save Review","Review opslaan",module,Magento_Review
"Save Role","Rol bewaren",module,Magento_User
"Save Rule","Regel opslaan",module,Magento_Tax
"Save Search","Zoekopdracht opslaan",module,Magento_Search
"Save Status","Status opslaan",module,Magento_Sales
"Save Status Assignment","Status opdracht opslaan",module,Magento_Sales
"Save Store","Store opslaan",module,Magento_Backend
"Save Store View","Winkelzicht bewaren",module,Magento_Backend
"Save Store Views","Winkelzicht opslaan",module,Magento_Backend
"Save Subscription Settings","Notificatie-instellingen opslaan",module,Magento_Reward
"Save Synonym Group","Synoniem-groep opslaan",module,Magento_Search
"Save Template","Template opslaan",module,Magento_Newsletter
"Save User","Gebruiker bewaren",module,Magento_User
"Save View As...","Save View As...",module,Magento_Ui
"Save Web Site","Website opslaan",module,Magento_Backend
"Save and Apply","Opslaan en toepassen",module,Magento_CatalogRule
"Save and Close","Opslaan en Sluiten",module,Magento_VisualMerchandiser
"Save and Continue",Toepassen,module,Magento_Theme
"Save and Continue Edit","Sla op en ga verder met bewerken",module,Magento_Widget
"Save and Next","Opslaan en volgende",module,Magento_Review
"Save and Previous","Opslaan en vorig",module,Magento_Review
"Save and Resume","Opslaan en doorgaan",module,Magento_Newsletter
"Save as Draft","Opslaan als concept",module,Magento_NegotiableQuote
"Save as a New Update","Opslaan als nieuwe update",module,Magento_Staging
"Save credit card information for future use.","Sla credit card informatie op voor toekomstig gebruik.",module,Magento_Paypal
"Save file content","Bestandsgegevens Opslaan",module,Magento_ScheduledImportExport
"Save for later use.","Save for later use.",module,Magento_Paypal
"Save history file content ""%1""","Sla de geschiedenis bestandsinhoud ""%1"" op",module,Magento_ScheduledImportExport
"Save in New Attribute Set","Opslaan in nieuwe attributenset",module,Magento_Catalog
"Save in address book","Opslaan in adresboek",module,Magento_Sales
"Save this card for future use","Deze kaart opslaan voor toekomstig gebruik",module,Magento_Braintree
Schedule,Planning,module,Magento_Paypal
"Schedule Ahead for","Op voorhand plannen voor",module,Magento_Cron
"Schedule Design Update","Design update plannen",module,Magento_Catalog
"Schedule Id",Schema-Id,module,Magento_Support
"Schedule New Update","Nieuwe update plannen",module,Magento_Staging
"Schedule Status","Schedule Status",module,Magento_Indexer
"Schedule Update","Plan Update",module,Magento_CmsStaging
"Schedule Update From","Update inplannen vanaf",module,Magento_Catalog
"Scheduled At","Gepland op",module,Magento_Support
"Scheduled Backup Settings","Geplande backup-instellingen",module,Magento_Backup
"Scheduled Backup Type","Gepland back-up type",module,Magento_Backup
"Scheduled Changes","Geplande wijzigingen",module,Magento_Staging
"Scheduled Export","Geplande Export",module,Magento_ScheduledImportExport
"Scheduled Fetching","Geplande fetching",module,Magento_Paypal
"Scheduled Import","Geplande Import",module,Magento_ScheduledImportExport
"Scheduled Import Settings","Geplande importinstellingen",module,Magento_Directory
"Scheduled Import/Export","Geplande Import/Export",module,Magento_ScheduledImportExport
"Scheduled Import/Export File History Cleaning","Geplande Import/Export Bestands Geschiedenis Schoonmaak",module,Magento_ScheduledImportExport
"Scheduled Import/Export File History Cleanup Warnings","Geschiedenis van de opruimingswaarschuwingen van geplande import/export bestanden",module,Magento_ScheduledImportExport
"Scheduled Imports/Exports","Geplande Import/Export",module,Magento_ScheduledImportExport
Scope,Bereik,module,Magento_Search
Scope:,Bereik:,module,Magento_Theme
"Scripts and Style Sheets","Scripts en Style Sheets",module,Magento_Theme
Scroll,scroll,module,Magento_CatalogEvent
Search,Zoeken,module,Magento_Search
"Search All Products","Zoek in alle producten",module,Magento_VisualMerchandiser
"Search By","Zoeken op",module,Magento_MultipleWishlist
"Search Engine",Zoekmachine,module,Magento_Search
"Search Engine Optimisation","Zoekmachine optimalisatie",module,Magento_Cms
"Search Engine Optimization",Zoekmachineoptimalisatie,module,Magento_Catalog
"Search Engine Robots",Zoekmachinerobots,module,Magento_Theme
"Search Engine Submission Settings","Zoekmachine vrijgave instellingen",module,Magento_Sitemap
"Search Index",Zoekindex,module,Magento_Backend
"Search Information","Zoekopdracht informatie",module,Magento_Search
"Search Options",Zoekopties,module,Magento_MultipleWishlist
"Search Query",Zoekopdracht,module,Magento_Search
"Search Recommendations Count","Zoek Aanbevelings Telling",module,Magento_AdvancedSearch
"Search Results",Zoekresultaten,module,Magento_MultipleWishlist
"Search Settings",Zoekinstellingen,module,Magento_CatalogSearch
"Search String",Zoekterm,module,Magento_Config
"Search Suggestions Count","Aantal zoeksuggesties",module,Magento_AdvancedSearch
"Search Synonyms","Zoek synoniemen",module,Magento_Search
"Search Term",Zoekterm,module,Magento_Search
"Search Terms",Zoektermen,module,Magento_Reports
"Search Terms Report","Zoekterm rapport",module,Magento_Search
"Search Weight","Zoek gewicht",module,Magento_CatalogSearch
"Search by keyword","Zoeken op trefwoord",module,Magento_Ui
"Search entire store here...","Doorzoek hier de hele store...",module,Magento_Search
"Search results for: '%1'","Zoekresultaten voor: '%1'",module,Magento_CatalogSearch
"Search strings are either normal strings or regular expressions (PCRE). They are matched in the same order as entered.","Zoek regels zijn of normale tekenreeksen of reguliere expressies (PCRE). Ze worden gevonden in dezelfde volgorde als ingevoerd.",module,Magento_Backend
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Zoeksynoniemen worden niet ondersteund door de zoekmachine %1. Synoniemen, die u invoert, worden niet gebruikt.",module,Magento_Search
"Search term is empty","Search term is empty",module,Magento_CatalogSearch
Searchable,Doorzoekbaar,module,Magento_ConfigurableProduct
Sec,Sec,module,Magento_CatalogEvent
"Secret Key","Geheime Sleutel",module,Magento_Cybersource
Section,Gedeelte,module,Magento_VersionsCms
"Secure Base Link URL","Beveiligde basis-link-URL",module,Magento_Backend
"Secure Base URL","Beveiligde basis-URL",module,Magento_Backend
"Secure Base URL for Static View Files","Beveiligde basis-URL voor static view-bestanden",module,Magento_Backend
"Secure Base URL for User Media Files","Beveiligde basis-URL voor mediabestanden gebruiker",module,Magento_Backend
"Secure Gateway URL","Veilige Gateway URL",module,Magento_Usps
Secureline,Secureline,module,Magento_Dhl
Security,Beveiliging,module,Magento_Backend
"Security validation of XML document has been failed.","Beveiligingsvalidatie van XML document is mislukt.",module,Magento_Shipping
"See <a href=""http://www.w3.org/TR/upgrade-insecure-requests/"" target=""_blank"">Upgrade Insecure Requests</a> page for details.","Zie <a href=""http://www.w3.org/TR/upgrade-insecure-requests/"" target=""_blank"">Upgrade Insecure verzoeken</a> pagina voor details.",module,Magento_Backend
"See <a href=""https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html"" target=""_blank"">HTTP Strict Transport Security</a> page for details.","Zie <a href=""https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html"" target=""_blank"">HTTP Strict Transport Security</a> pagina voor details.",module,Magento_Backend
"See All (","Bekijk alles (",module,Magento_AdminNotification
"See Balance","Balans bekijken",module,Magento_NegotiableQuote
"See Details","Details bekijken",module,Magento_Wishlist
"See PayPal Feature Support details and list of supported regions,module,Magento_Paypal
<a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","See PayPal Feature Support details and list of supported regions,module,Magento_Paypal
<a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.",module,Magento_Paypal
"See order and shipping status","Bekijk bestelling en verzendstatus",module,Magento_Customer
"See our Shipping Policy","Bekijk ons verzendbeleid",module,Magento_Shipping
"See price before order confirmation.","Zie prijs voor de orderbevestiging.",module,Magento_Msrp
"See terms","Bekijk voorwaarden",module,Magento_Paypal
Segment,Segment,module,Magento_CustomerSegment
"Segment Customers matching error.","Segment Customers matching error.",module,Magento_CustomerSegment
"Segment Customers matching is added to messages queue.","Segment Customers matching is added to messages queue.",module,Magento_CustomerSegment
"Segment Information","Segment Informatie",module,Magento_CustomerSegment
"Segment Name","Segment Naam",module,Magento_CustomerSegment
Segments,Segmenten,module,Magento_CustomerSegment
Select,Selecteer,module,Magento_Sales
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Selecteer ""Ja"" om dit kenmerk toe te voegen aan de lijst van kolomopties in het klantoverzicht.",module,Magento_CustomerCustomAttributes
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selecteer ""Ja"" om deze attribuut toe te voegen aan de lijst met kolomopties in het productrooster.",module,Magento_Catalog
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Selecteer ""Ja"" om dit kenmerk toe te voegen aan de lijst van filteropties in het klantoverzicht.",module,Magento_CustomerCustomAttributes
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selecteer ""Ja"" om deze attribuut toe te voegen aan de lijst met filteropties in het productrooster.",module,Magento_Catalog
"Select ""Yes"" to add this attribute to the list of search options in the customer grid.","Selecteer ""Ja"" om dit kenmerk toe te voegen aan de lijst van zoekopties in het klantoverzicht.",module,Magento_CustomerCustomAttributes
"Select Address","Selecteer adres",module,Magento_Multishipping
"Select Addresses","Selecteer adressen",module,Magento_Multishipping
"Select All","Selecteer alles",module,Magento_Swatches
"Select All on This Page","Selecteer alles op deze pagina",module,Magento_Ui
"Select Associated Product","Selecteer geassocieerd product",module,Magento_ConfigurableProduct
"Select Attribute","Selecteer attribuut",module,Magento_Catalog
"Select Attributes","Selecteer attributen",module,Magento_ConfigurableProduct
"Select Block...","Selecteer blok...",module,Magento_Cms
"Select CSS File to Upload","Selecteer CSS bestand om te uploaden",module,Magento_Theme
"Select Cancel to stay on the current page.","Selecteer ""Annuleren"" om op de huidige pagina te blijven.",module,Magento_RequisitionList
"Select Category","Categorie selecteren",module,Magento_UrlRewrite
"Select Category...","Selecteer categorie...",module,Magento_Catalog
"Select Date","Selecteer datum",module,Magento_Reports
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set as Inactive to temporarily lock the user. The user’s content is still available to parent users.","Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set as Inactive to temporarily lock the user. The user’s content is still available to parent users.",module,Magento_Company
"Select Email Template","Selecteer e-mailtemplate",module,Magento_SendFriend
"Select Existing Address","Selecteer bestaand adres",module,Magento_NegotiableQuote
"Select File to Import","Selecteer te importeren bestand",module,Magento_ImportExport
"Select Items","Kies producten",module,Magento_Rma
"Select JS Files to Upload","Selecteer te uploaden JS bestanden",module,Magento_Theme
"Select Media Database","Selecteer mediadatabase",module,Magento_MediaStorage
"Select Method","Select Method",module,Magento_Checkout
"Select Page...","Selecteer pagina...",module,Magento_Cms
"Select Product","Product selecteren",module,Magento_Catalog
"Select Product...","Kies product...",module,Magento_Widget
"Select Range:","Selecteer reeks:",module,Magento_Backend
"Select Rule...","Selecteer regel...",module,Magento_Reminder
"Select Search Type","Kies zoektype",module,Magento_MultipleWishlist
"Select Shipping Method","Selecteer verzendmethode",module,Magento_Multishipping
"Select Store","Selecteer Store",module,Magento_Store
"Select Visible","Selecteer zichtbare",module,Magento_Catalog
"Select a new payment method","Selecteer een nieuwe betaalmethode",module,Magento_Checkout
"Select a page or node.","Selecteer een pagina of knooppunt.",module,Magento_VersionsCms
"Select a shipping address from your address book or enter a new address.","Selecteer een verzendadres vanuit uw adresboek of geef een nieuw e-mailadres in",module,Magento_GiftRegistry
"Select a shipping address from your address book.","Selecteer een verzendadres uit uw adresboek.",module,Magento_NegotiableQuote
"Select all","Selecteer alles",module,Magento_Downloadable
"Select attribute","Selecteer attribuut",module,Magento_ConfigurableProduct
"Select day of the month.","Selecteer dag van de maand.",module,Magento_Reports
"Select from Gallery","Select from Gallery",module,Magento_Ui
"Select from existing customer addresses:","Selecteer van bestaande klantadressen:",module,Magento_Sales
"Select from the following attribute values for this product. Each unique combination of values creates a unique product SKU.","Selecteer van de volgende attribuut-waarden voor dit product. Elke unieke combinatie van waarden maakt een eigen product art.nr. aan.",module,Magento_Swatches
"Select options for all attributes or remove unused attributes.","Selecteer opties voor alle attributen of verwijder ongebruikte attributen.",module,Magento_ConfigurableProduct
"Select products you want to buy","Selecteer het product dat u wilt kopen",module,Magento_AdvancedCheckout
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Selecteer deze om DHL toe te staan de verzendkosten te optimaliseren door de order op te delen wanneer deze %1 %2 overschrijdt.",module,Magento_Dhl
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Selecteer dit om DHL toe te staan de lading te optimaliseren door de order op te splitsen als het 70kg overschrijdt.",module,Magento_Dhl
"Select type of option.","Select optietype.",module,Magento_Catalog
"Select type options required values rows.","Selecteer type opties vereiste waarden rijen.",module,Magento_Catalog
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Selecteer waarden van elk attribuut om dit product toe te voegen. Elke unieke combinatie van waarden zorgt voor een unieke product SKU.",module,Magento_Swatches
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Selecteer waarden van elk attribuut om deze op te nemen in dit product. Elke unieke combinatie van waarden creëert een uniek art.nr.",module,Magento_ConfigurableProduct
Select...,Selecteer...,module,Magento_GroupedProduct
Selected,Geselecteerd,module,Magento_Ui
"Selected Attributes:","Selecteer attributen:",module,Magento_ConfigurableProduct
"Selected Attributes\:","Selected Attributes\:",module,Magento_Catalog
"Selected Only","alleen geselecteerd",module,Magento_TargetRule
"Selected Payment Methods","Selected Payment Methods",module,Magento_CompanyPayment
"Selected Update\:","Selected Update\:",module,Magento_Staging
"Selected allowed currency ""%1"" is not available in installed currencies.","Geselecteerde toegestane waarde ""%1"" is niet beschikbaar in geïnstalleerde waardens.",module,Magento_Config
"Selected allowed currency %1"" is not available in installed currencies.""","Geselecteerde toegestane valuta %1"" is niet beschikbaar in de geinstalleerde valuta's.""",module,Magento_Config
"Selected layout update is not available","Selected layout update is not available",module,Magento_Catalog
"Selected option(s) or their combination is not currently available.","Geselecteerde optie(s) of een combinatie ervan is momenteel niet beschikbaar.",module,Magento_offerte
"Selected payment type is not allowed for billing country.","Geselecteerde betaalmethode is niet toegestaan in het gefactureerde land.",module,Magento_Braintree
Seller,Verkoper,module,Magento_NegotiableQuote
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field.",module,Magento_Customer
Send,Verzenden,module,Magento_NegotiableQuote
"Send Adminhtml and Frontend as Separate Apps","Verstuur Adminhtml en Frontend als Separate Apps",module,Magento_NewRelicReporting
"Send At","Verzend op",module,Magento_Invitation
"Send Check to","Rekening verzenden naar",module,Magento_OfflinePayments
"Send Check to:","Verzend rekening naar:",module,Magento_OfflinePayments
"Send Company Credit Change Email Copy To","Stuur bedrijfskrediet wijzigen e-mail kopie naar",module,Magento_CompanyCredit
"Send Company Registration Email Copy To","Verzend bedrijfsregistratie e-mail kopie naar",module,Magento_Company
"Send Company Status Change Email Copy To","Stuur bedrijfsstatus wijziging e-mail kopie naar",module,Magento_Company
"Send Count","Stuur aantal",module,Magento_Catalog
"Send Credit Memo Comment Email Copy To","Stuur kopie opmerking creditnota per e-mail aan",module,Magento_Sales
"Send Credit Memo Comments Email Copy Method","Manier van versturen e-mailkopie ""opmerkingen creditnota""",module,Magento_Sales
"Send Credit Memo Email Copy Method","Methode van versturen kopie creditnota",module,Magento_Sales
"Send Credit Memo Email Copy To","Verstuur kopie van creditnota aan",module,Magento_Sales
"Send Email","E-mail verzenden",module,Magento_SendFriend
"Send Email Confirmation","Verstuur e-mailbevestiging",module,Magento_Paypal
"Send Email Copy Method","Verzend methode voor kopie van e-mail",module,Magento_CompanyCredit
"Send Email Notification From the Following Store View","Stuur E-mailadres Notificatie vanuit het volgende Winkelaanzicht",module,Magento_CustomerBalance
"Send Email from the Following Store View","Stuur E-mail notificatie vanuit het volgende Winkelaanzicht",module,Magento_GiftCardAccount
"Send Emails To","E-mails versturen aan",module,Magento_Contact
"Send Failed Email Copy Method","Stuur Mislukte Email Kopieer Methode",module,Magento_ScheduledImportExport
"Send Failed Email Copy To","Stuur Mislukte Email Copy Naar",module,Magento_ScheduledImportExport
"Send From","Verzenden van",module,Magento_Invitation
"Send Gift Card","Cadeaubon versturen",module,Magento_GiftCardAccount
"Send Gift Receipt","Stuur betaalbewijs cadeau",module,Magento_GiftWrapping
"Send Invitation","Verzend uitnodiging",module,Magento_Invitation
"Send Invitations","Verzend uitnodigingen",module,Magento_Invitation
"Send Invoice Comment Email Copy To","Verstuur kopie opmerking factuur per e-mail aan",module,Magento_Sales
"Send Invoice Comments Email Copy Method","Manier van versturen kopie opmerkingen factuur",module,Magento_Sales
"Send Invoice Email Copy Method","Manier van versturen kopie van factuur",module,Magento_Sales
"Send Invoice Email Copy To","Verstuur kopie van factuur aan",module,Magento_Sales
"Send Order Comment Email Copy To","Verstuur kopie bestellingsnotitie per e-mail aan",module,Magento_Sales
"Send Order Comments Email Copy Method","Manier van versturen kopie opmerkingen bestelling",module,Magento_Sales
"Send Order Currency","Send Order Currency",module,Magento_GoogleAdwords
"Send Order Email","Verstuur bestel e-mail",module,Magento_Sales
"Send Order Email Copy Method","Manier van versturen kopie bestelling",module,Magento_Sales
"Send Order Email Copy To","Verstuur bestelling per e-mail aan",module,Magento_Sales
"Send Payment Failed Email Copy Method","Manier van versturen kopiemail ""betaling mislukt""",module,Magento_Checkout
"Send Payment Failed Email Copy To","Verstuur kopiemail ""betaling mislukt"" aan",module,Magento_Checkout
"Send Quote Email Copy Method","Kopie van offerte mailen methode",module,Magento_NegotiableQuote
"Send Quote Email Copy To","Kopie van offerte mailen aan",module,Magento_NegotiableQuote
"Send RMA Authorization Email Copy Method","Stuur RMA Autorisatie E-mail Kopie Methode",module,Magento_Rma
"Send RMA Authorization Email Copy To","Stuur Kopie RMA Autorisatie E-mail Naar",module,Magento_Rma
"Send RMA Comment Email Copy To","Stuur RMA Opmerkingen E-mail Naar",module,Magento_Rma
"Send RMA Email Copy Method","Verzend RMS E-mail Kopie Methode",module,Magento_Rma
"Send RMA Email Copy To","Verzend RMS E-mail Kopie Naar",module,Magento_Rma
"Send Request","Verzoek verzenden",module,Magento_NegotiableQuote
"Send Sales Emails","Verzend verkoop e-mails",module,Magento_Sales
"Send Selected","Zend geselecteerde",module,Magento_Invitation
"Send Shipment Comment Email Copy To","Stuur kopie opmerking verzending per e-mail aan",module,Magento_Sales
"Send Shipment Comments Email Copy Method","Manier van versturen kopie ""opmerkingen verzending""",module,Magento_Sales
"Send Shipment Email Copy Method","Manier van versturen kopie e-mail verzending",module,Magento_Sales
"Send Shipment Email Copy To","Verstuur kopie e-mail verzending aan",module,Magento_Sales
"Send To","Verzenden naar",module,Magento_Multishipping
"Send Tracking Information","Tracking informatie verzenden",module,Magento_Shipping
"Send Welcome Email From","Welkomstmail versturen door",module,Magento_Customer
"Send confirmation link","Stuur een bevestigingslink",module,Magento_Customer
"Send for Review","Verstuur voor beoordeling",module,Magento_NegotiableQuote
"Send this invitation now and earn %1 when your invitee signs up on our site.","Send this invitation now and earn %1 when your invitee signs up on our site.",module,Magento_Reward
"Send to Google","Verzenden naar Google",module,Magento_GoogleTagManager
Sender,Afzender,module,Magento_SendFriend
"Sender Email","E-mail afzender",module,Magento_Backend
"Sender Name","Naam afzender",module,Magento_Backend
Sending,Verzenden,module,Magento_Newsletter
Sent,Verzonden,module,Magento_Newsletter
"Separate Email","Aparte e-mail",module,Magento_Config
"Separate by "","".","Gescheiden door "","".",module,Magento_Checkout
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","Scheid elke bestandsextensie met een komma. Speciale symbolen zoals punt, geconverteerde komma's, asterisk, etc. zijn niet toegestaan.",module,Magento_NegotiableQuote
Separately,Afzonderlijk,module,Magento_Bundle
"Server Type",Servertype,module,Magento_ScheduledImportExport
"Server side less compilation","Server side minder compilatie",module,Magento_Developer
Service,Service,module,Magento_Directory
"Service Type:","Service type:",module,Magento_Shipping
"Service type does not match","Servicetype komt niet overeen",module,Magento_Usps
"Service unavailable: %1","Service niet beschikbaar: %1",module,Magento_Backend
Services,Services,module,Magento_Backend
"Session Validation Settings","Sessie validatie-instellingen",module,Magento_Backend
Set,Instellen,module,Magento_Catalog
"Set Active",Activeer,module,Magento_Company
"Set Ascending Direction","Oplopend sorteren",module,Magento_Catalog
"Set Descending Direction","Aflopend sorteren",module,Magento_Catalog
"Set Discount","Korting instellen",module,Magento_SharedCatalog
"Set Inactive","Set inactief",module,Magento_Company
"Set Items' Status to be In Stock When Order is Cancelled","De status van het item komt op voorraad instellen wanneer de order is geannuleerd.",module,Magento_CatalogInventory
"Set Order Status to Suspected Fraud for CVV","Zet bestellingstatus op verdenking van fraude voor CVV",module,Magento_Worldpay
"Set Order Status to Suspected Fraud for Postcode AVS","Zet bestellingstatus op verdenking van fraude voor postcode AVS",module,Magento_Worldpay
"Set Pricing and Structure","Prijsbepaling en structuur instellen",module,Magento_SharedCatalog
"Set Product as New","Markeer het product als nieuw",module,Magento_CatalogStaging
"Set Product as New From","Product als nieuw instellen vanaf",module,Magento_Catalog
"Set Return-Path","Return-path instellen",module,Magento_Backend
"Set Root Category for Store","Rootcategorie instellen voor store",module,Magento_Catalog
"Set a Company as Active","Stel een bedrijf in als actief",module,Magento_Company
